State,Severity,Total Severity
AL,4,600
OH,4,5589
NV,4,452
WY,4,197
NC,4,3055
NY,4,7137
TN,4,1692
DE,4,812
GA,4,7449
NM,4,362
IA,4,921
MO,4,1691
MT,4,107
PA,4,5720
KY,4,848
ID,4,243
OK,4,440
SD,4,36
MD,4,5878
MA,4,390
ND,4,11
ME,4,102
WV,4,487
MS,4,305
TX,4,4707
VA,4,5510
DC,4,687
VT,4,69
CO,4,3808
WA,4,3047
LA,4,1229
IN,4,2801
MI,4,5324
AZ,4,3612
NH,4,184
WI,4,2708
OR,4,3039
NJ,4,3766
UT,4,1349
CA,4,8462
CT,4,2245
SC,4,1170
RI,4,115
MN,4,467
AR,4,502
NE,4,286
IL,4,3374
FL,4,8919
KS,4,416
WI,3,7302
VT,3,146
NM,3,2093
WA,3,23234
NH,3,1444
SD,3,8
AL,3,13890
KY,3,9745
MN,3,27817
IL,3,32652
NE,3,3637
NV,3,3202
ID,3,207
FL,3,80563
MO,3,18014
IN,3,10960
NC,3,22047
ME,3,75
AZ,3,13178
OH,3,18904
CO,3,19888
MI,3,33542
TX,3,89667
WV,3,504
MA,3,15019
IA,3,5460
DE,3,629
MT,3,141
CT,3,11632
GA,3,46837
ND,3,12
MS,3,2636
NY,3,56889
KS,3,3947
DC,3,1099
OK,3,5892
CA,3,225820
NJ,3,16040
MD,3,21359
OR,3,8073
LA,3,11925
UT,3,11379
VA,3,37187
PA,3,22124
AR,3,488
WY,3,178
RI,3,6000
SC,3,34620
TN,3,20808
MN,2,53538
NY,2,96064
IN,2,19925
FL,2,165506
AZ,2,55089
IA,2,5088
NE,2,20009
CT,2,12002
NV,2,6986
MS,2,3639
WY,2,133
ND,2,21
OH,2,41120
MI,2,57060
WI,2,10077
MA,2,23452
RI,2,5567
WA,2,41732
VA,2,51639
TX,2,233840
KS,2,3571
SC,2,137371
PA,2,78724
TN,2,45942
AR,2,1011
NC,2,139050
SD,2,17
VT,2,486
OR,2,77747
NM,2,3020
DE,2,4288
KY,2,11920
OK,2,53599
LA,2,47099
NJ,2,39160
ID,2,1594
AL,2,30002
MO,2,13868
UT,2,38562
CO,2,25516
WV,2,1388
IL,2,63401
CA,2,576742
NH,2,6352
ME,2,2065
GA,2,38922
MD,2,26051
DC,2,2991
MT,2,264
AZ,1,6705
MN,1,41
IN,1,60
KY,1,40
WI,1,33
PA,1,219
CT,1,22
TN,1,1453
OK,1,72
RI,1,71
OH,1,526
TX,1,1070
ME,1,1
NM,1,48
WA,1,531
DC,1,43
MA,1,183
IA,1,6
OR,1,1263
VA,1,1739
UT,1,395
NV,1,3
MI,1,57
MO,1,70
MD,1,305
AL,1,133
KS,1,5
AR,1,11
NC,1,1806
GA,1,406
LA,1,1262
WV,1,2
FL,1,3014
NH,1,4
NE,1,38
SC,1,116
NJ,1,93
MS,1,5
NY,1,727
DE,1,10
VT,1,1
CA,1,5801
IL,1,265
CO,1,519
